group,corpus_title,avg_like_count,avg_browse_count,article_count,avg_article_length,max_corpus_day,writer_name,writer_url
ModernWeb,Nest.jsframework30天初探系列,0.4166666666666667,591.5,12,752.25,12,Michael,https://ithelp.ithome.com.tw/users/20107195/ironman
ModernWeb,Next.js+各種套件組合系列,0.9230769230769231,641.0,13,1527.1538461538462,13,polo,https://ithelp.ithome.com.tw/users/20103438/ironman
ModernWeb,PHPlaravel的邂逅系列,0.0,488.38461538461536,13,551.8461538461538,13,oliver,https://ithelp.ithome.com.tw/users/20107335/ironman
ModernWeb,PixiJS，方便好用的WebGL內容產生工具系列,0.3333333333333333,578.0,12,1309.1666666666667,13,angelliya00,https://ithelp.ithome.com.tw/users/20106532/ironman
ModernWeb,TypeScript-初學之路系列,0.25,485.625,8,1601.625,8,TomasLin,https://ithelp.ithome.com.tw/users/20103639/ironman
ModernWeb,TypeScript初學之路系列,0.0,534.5454545454545,11,1441.1818181818182,11,TomasLin,https://ithelp.ithome.com.tw/users/20103639/ironman
ModernWeb,WhatDoestheCodeIgniterSay?系列,0.0,448.85714285714283,7,497.2857142857143,7,qian247k,https://ithelp.ithome.com.tw/users/20107530/ironman
ModernWeb,ZerotoherowithReact.js系列,1.1111111111111112,534.8888888888889,9,1174.4444444444443,9,anniesnoopymd,https://ithelp.ithome.com.tw/users/20107150/ironman
ModernWeb,「放下屠龍刀！論開發者如何與設計師打交道」系列,1.0,1404.0,1,1941.0,1,riven,https://ithelp.ithome.com.tw/users/20107565/ironman
ModernWeb,三十哩路，我的前端學習路程系列,0.8461538461538461,591.2307692307693,13,785.6153846153846,13,米荳(mido),https://ithelp.ithome.com.tw/users/20106699/ironman
ModernWeb,初探前端之路-React-由生到死的踩地雷系列,0.16666666666666666,403.0,6,526.0,6,Luis-Chen,https://ithelp.ithome.com.tw/users/20103556/ironman
ModernWeb,前端工程師養成手冊系列,3.8333333333333335,1031.75,12,2367.5833333333335,13,sfisonly,https://ithelp.ithome.com.tw/users/20040221/ironman
ModernWeb,前端新手村系列,0.8333333333333334,884.8333333333334,6,1324.3333333333333,6,chris47,https://ithelp.ithome.com.tw/users/20107637/ironman
ModernWeb,如何在前端開發流程中加入使用者經驗設計-以線上相簿為例系列,0.5,559.8333333333334,12,586.25,12,yowlonglee,https://ithelp.ithome.com.tw/users/20091606/ironman
ModernWeb,平時沒注意的JavaScript-JS生態系及週邊工具整理系列,0.3076923076923077,602.0769230769231,13,1866.076923076923,13,"AlexTzeng,曾苔眠",https://ithelp.ithome.com.tw/users/20107440/ironman
ModernWeb,從無到有，使用Go開發應用程式系列,0.0,445.7142857142857,7,662.7142857142857,7,Miles,https://ithelp.ithome.com.tw/users/20102562/ironman
ModernWeb,從無到有，打造一個漂亮乾淨俐落的RESTfulAPI系列,0.6666666666666666,389.1666666666667,6,961.1666666666666,6,10程式中,https://ithelp.ithome.com.tw/users/20107247/ironman
ModernWeb,從零開始的網頁設計系列,1.0,315.0,1,1194.0,1,樂樂,https://ithelp.ithome.com.tw/users/20104423/ironman
ModernWeb,挑戰CSS30天系列,0.25,530.3333333333334,12,159.75,12,小斑,https://ithelp.ithome.com.tw/users/20106496/ironman
ModernWeb,改良版JS30系列,0.0,659.5,2,101.5,2,raindot,https://ithelp.ithome.com.tw/users/20107375/ironman
ModernWeb,新時代的網頁框架比較--淺談Rails、Django、Phoenix、Laravel系列,0.9166666666666666,573.9166666666666,12,1524.3333333333333,12,bater,https://ithelp.ithome.com.tw/users/20103651/ironman
ModernWeb,每日文章推薦系列,0.5,637.5,12,1161.4166666666667,12,fripig,https://ithelp.ithome.com.tw/users/20065773/ironman
ModernWeb,用範例理解Vue.js系列,0.8333333333333334,772.1666666666666,6,951.6666666666666,6,hunterliu1003,https://ithelp.ithome.com.tw/users/20107107/ironman
ModernWeb,認識Chrome開發者工具系列,0.4166666666666667,591.6666666666666,12,1330.8333333333333,12,konekoya,https://ithelp.ithome.com.tw/users/20103325/ironman
ModernWeb,跟著網頁動ㄘ動系列,0.6,680.6,5,347.0,5,EllenK,https://ithelp.ithome.com.tw/users/20107540/ironman
ModernWeb,邁向JavaScript勇者之路系列,1.25,748.0833333333334,12,916.5,13,卡斯伯,https://ithelp.ithome.com.tw/users/20083608/ironman
ModernWeb,重新學習網頁設計系列,0.16666666666666666,599.75,12,947.5833333333334,12,CIAN,https://ithelp.ithome.com.tw/users/20102825/ironman
ModernWeb,重新認識JavaScript系列,1.75,811.6666666666666,12,2884.75,12,KuroHsu,https://ithelp.ithome.com.tw/users/20065504/ironman
Security,CEH之越挫越勇系列,0.36363636363636365,680.7272727272727,11,717.0,11,虎虎,https://ithelp.ithome.com.tw/users/20103647/ironman
Security,IT安全稽核系列,0.15384615384615385,539.9230769230769,13,1181.1538461538462,13,wkpeng,https://ithelp.ithome.com.tw/users/20107482/ironman
Security,資安的學習心得及分享系列,0.38461538461538464,566.1538461538462,13,505.9230769230769,13,Fu-sheng,https://ithelp.ithome.com.tw/users/20107445/ironman
Security,資訊系統安全與CISSP的簡單應用系列,0.0,116.5,2,813.0,2,wisdomryanlin,https://ithelp.ithome.com.tw/users/20107753/ironman
SoftwareDevelopment,30天iOSAPP開發系列,0.0,589.6666666666666,6,282.1666666666667,6,d3764291,https://ithelp.ithome.com.tw/users/20107588/ironman
SoftwareDevelopment,30天從零開始使用SpringBoot跟SpringCloud建構完整微服務架構系列,0.4444444444444444,537.0,9,808.0,9,Sam,https://ithelp.ithome.com.tw/users/20107338/ironman
SoftwareDevelopment,30天從零開始到使用SpringCloud建立完整微服務架構系列,0.0,689.0,3,517.3333333333334,3,Sam,https://ithelp.ithome.com.tw/users/20107338/ironman
SoftwareDevelopment,30天快樂學習FunctionalProgramming系列,1.0,330.0,3,1581.3333333333333,3,阿志,https://ithelp.ithome.com.tw/users/20103386/ironman
SoftwareDevelopment,BPM企業流程-EFGP開發路程系列,0.0,559.4545454545455,11,853.4545454545455,12,esther1101,https://ithelp.ithome.com.tw/users/20105722/ironman
SoftwareDevelopment,Kotlin30天，通過每天一個小demo學習Android開發系列,0.6666666666666666,679.0833333333334,12,677.5,13,Don,https://ithelp.ithome.com.tw/users/20107329/ironman
SoftwareDevelopment,MsBotframework30天上手系列,1.5,730.5,2,49.0,3,Wolke,https://ithelp.ithome.com.tw/users/20046160/ironman
SoftwareDevelopment,【UnitTest】UnitTestwithC#系列,0.09090909090909091,510.3636363636364,11,592.4545454545455,11,eyelash,https://ithelp.ithome.com.tw/users/20103826/ironman
SoftwareDevelopment,來做個網路瀏覽器吧！Let'sbuildawebbrowser!系列,2.8,478.0,5,1349.4,5,微中子,https://ithelp.ithome.com.tw/users/20103745/ironman
SoftwareDevelopment,保持前進、持續優化程式碼內涵系列,0.2727272727272727,578.5454545454545,11,809.8181818181819,11,依恩,https://ithelp.ithome.com.tw/users/20107551/ironman
SoftwareDevelopment,初探Kotlin系列,0.3,486.2,10,229.9,10,randy,https://ithelp.ithome.com.tw/users/20107591/ironman
SoftwareDevelopment,每天Racket3分鐘系列,0.4166666666666667,498.9166666666667,12,1380.5833333333333,12,cchuang0425,https://ithelp.ithome.com.tw/users/20085418/ironman
SoftwareDevelopment,爬蟲始終來自於墮性系列,1.625,807.3125,16,1294.0,16,Howard,https://ithelp.ithome.com.tw/users/20107159/ironman
SoftwareDevelopment,看到code寫成這樣我也是醉了，不如試試重構？系列,0.4,468.4,5,1608.2,5,Miles,https://ithelp.ithome.com.tw/users/20102562/ironman
SoftwareDevelopment,簡潔高效的PHP&Laravel工作術：從ElementaryOS下手的聰明改造提案系列,0.2,442.2,5,2001.0,5,shengyou,https://ithelp.ithome.com.tw/users/20107229/ironman
SoftwareDevelopment,認識scala系列,0.38461538461538464,540.0769230769231,13,498.2307692307692,13,daniel0614,https://ithelp.ithome.com.tw/users/20107343/ironman
SoftwareDevelopment,那些年八歲到八十歲都可以一起寫的程式系列,0.0,594.8,5,302.6,5,MichaelHuang,https://ithelp.ithome.com.tw/users/20107642/ironman
自我挑戰組,,0.16666666666666666,562.75,12,802.75,12,幻幽,https://ithelp.ithome.com.tw/users/20000558/ironman
自我挑戰組,2017挨踢人生大事紀系列,0.0,602.9230769230769,13,463.3076923076923,13,牛哥,https://ithelp.ithome.com.tw/users/20022541/ironman
自我挑戰組,30天的IT大小事系列,0.0,664.0,1,198.0,1,KYOMAX,https://ithelp.ithome.com.tw/users/20066863/ironman
自我挑戰組,30天的切版日記系列,1.0,535.3333333333334,12,395.25,12,Yu-Ning,https://ithelp.ithome.com.tw/users/20092794/ironman
自我挑戰組,30天自我挑戰系列,0.0,671.0,1,122.0,1,claire689,https://ithelp.ithome.com.tw/users/20091382/ironman
自我挑戰組,ArasPLM開發練功30天系列,0.0,504.75,12,367.75,12,panda0909,https://ithelp.ithome.com.tw/users/20106503/ironman
自我挑戰組,D3.JS網頁視覺化學習系列,0.5,638.3333333333334,6,219.66666666666666,6,linonedollar,https://ithelp.ithome.com.tw/users/20107135/ironman
自我挑戰組,GAME30天系列,1.3333333333333333,846.0,6,437.5,6,我是一支小小小小鳥,https://ithelp.ithome.com.tw/users/20107379/ironman
自我挑戰組,Kaggle的解題挑戰系列,0.0,393.6,5,704.8,5,BillLin1983,https://ithelp.ithome.com.tw/users/20103074/ironman
自我挑戰組,"Let's""Go""系列",0.0,483.4,10,96.1,10,syiu,https://ithelp.ithome.com.tw/users/20107075/ironman
自我挑戰組,Linux的學習歷程系列,0.0,272.0,1,367.0,1,小chi,https://ithelp.ithome.com.tw/users/20107723/ironman
自我挑戰組,Verilog從放棄到有趣系列,0.0,400.25,4,1292.0,4,Sheng,https://ithelp.ithome.com.tw/users/20107543/ironman
自我挑戰組,Vuex學習筆記系列,0.0,588.5,8,547.25,8,NomiSu,https://ithelp.ithome.com.tw/users/20107601/ironman
自我挑戰組,delphi菜鳥入門日記系列,0.25,637.5,4,582.25,4,getfree84419,https://ithelp.ithome.com.tw/users/20107544/ironman
自我挑戰組,hexo-從初學到入門-again系列,0.0,150.0,1,658.0,1,josephwu,https://ithelp.ithome.com.tw/users/20107307/ironman
自我挑戰組,hexo-從初學到入門系列,0.5,605.5,2,454.0,2,josephwu,https://ithelp.ithome.com.tw/users/20107307/ironman
自我挑戰組,iflen(learning.python)==30:系列,0.0,535.9090909090909,11,223.27272727272728,11,j2hongming,https://ithelp.ithome.com.tw/users/20091827/ironman
自我挑戰組,rails學習紀錄系列,0.6666666666666666,406.6666666666667,3,333.3333333333333,3,thehappyend,https://ithelp.ithome.com.tw/users/20107708/ironman
自我挑戰組,使用PHP串接金流相關API系列,1.6,659.2,5,429.8,5,royal801991,https://ithelp.ithome.com.tw/users/20107301/ironman
自我挑戰組,再戰軟體工程系列,0.0,222.0,1,1000.0,1,Kuma,https://ithelp.ithome.com.tw/users/20107429/ironman
自我挑戰組,勇者不冒險，嘴一回桌遊系列,0.15384615384615385,492.3076923076923,13,259.0,13,魯大常,https://ithelp.ithome.com.tw/users/20103688/ironman
自我挑戰組,台灣動漫創作平台開發實錄系列,0.0,647.5,2,43.5,2,raindot,https://ithelp.ithome.com.tw/users/20107375/ironman
自我挑戰組,如何成為工程師?(從工地到前端工程師)系列,0.3333333333333333,583.4166666666666,12,701.3333333333334,12,dannyhuang,https://ithelp.ithome.com.tw/users/20107433/ironman
自我挑戰組,如何用電商一個月從0賺到100萬系列,0.0,1177.3333333333333,6,658.1666666666666,6,ocom,https://ithelp.ithome.com.tw/users/20107558/ironman
自我挑戰組,從0開始的菜鳥工程師挑戰賽系列,0.0,318.5,4,544.5,4,lf2exe,https://ithelp.ithome.com.tw/users/20107727/ironman
自我挑戰組,從無到有建置一個網站過程byC#mssqlhtml5+javascript系列,0.0,673.0,1,148.0,1,qsc811022,https://ithelp.ithome.com.tw/users/20091338/ironman
自我挑戰組,成長型維運平台-單人新手到多人團隊都適用的工具系列,0.0,597.4615384615385,13,898.2307692307693,13,etsaycood,https://ithelp.ithome.com.tw/users/20077752/ironman
自我挑戰組,打雜人生-腦容量不夠用就筆記筆記唄系列,0.3333333333333333,508.44444444444446,9,266.3333333333333,9,doraemon,https://ithelp.ithome.com.tw/users/20107398/ironman
自我挑戰組,數位遊牧民族（DigitalNomad）系列,0.2857142857142857,662.2857142857143,7,202.28571428571428,7,alincode,https://ithelp.ithome.com.tw/users/20092025/ironman
自我挑戰組,服務桌從開始到進入資安領域系列,0.5454545454545454,563.4545454545455,11,555.7272727272727,11,doraemon,https://ithelp.ithome.com.tw/users/20107398/ironman
自我挑戰組,標案系列,0.0,684.0,1,144.0,1,丹尼,https://ithelp.ithome.com.tw/users/20058145/ironman
自我挑戰組,用IT看世界系列,0.8181818181818182,595.3636363636364,11,819.9090909090909,12,allenjung,https://ithelp.ithome.com.tw/users/20106752/ironman
自我挑戰組,用laravel尻出自己形狀的linebot，還要撐三十天！系列,0.36363636363636365,491.8181818181818,11,662.9090909090909,11,太太,https://ithelp.ithome.com.tw/users/20107380/ironman
自我挑戰組,經濟學角度思考敏捷系列,0.0,152.0,1,365.0,1,eviler,https://ithelp.ithome.com.tw/users/20107403/ironman
自我挑戰組,網頁學習日誌系列,0.0,530.25,12,475.1666666666667,13,yuski,https://ithelp.ithome.com.tw/users/20107321/ironman
自我挑戰組,自己動手實作新創空間系列,1.0,775.0,1,715.0,1,Kyle,https://ithelp.ithome.com.tw/users/20006680/ironman
自我挑戰組,自我挑戰日記系列,1.1,503.5,10,347.6,10,bdp,https://ithelp.ithome.com.tw/users/20107496/ironman
自我挑戰組,花式PHP系列,0.2222222222222222,411.1111111111111,9,728.7777777777778,9,牙膏大師,https://ithelp.ithome.com.tw/users/20106636/ironman
自我挑戰組,蚵蚵攻城記系列,0.3333333333333333,336.3333333333333,6,529.1666666666666,6,azer19890427,https://ithelp.ithome.com.tw/users/20107340/ironman
自我挑戰組,資安學習分享系列,0.0,651.0,2,245.0,2,abspsp5600,https://ithelp.ithome.com.tw/users/20107449/ironman
自我挑戰組,資訊技術解戈迪安繩結系列,0.0,442.77777777777777,9,1247.7777777777778,9,ntausr4,https://ithelp.ithome.com.tw/users/20107621/ironman
自我挑戰組,軟體工程漫談系列,0.5,632.1,10,1261.0,10,Kuma,https://ithelp.ithome.com.tw/users/20107429/ironman
自我挑戰組,迷失在挨踢叢林的獎金獵人系列,0.0,367.3333333333333,3,601.0,3,獎金獵人,https://ithelp.ithome.com.tw/users/20107677/ironman
自我挑戰組,迷路還是繼續往前走的菜鳥工程師日常系列,0.0,599.1111111111111,9,832.4444444444445,9,overflow,https://ithelp.ithome.com.tw/users/20107577/ironman
